imp_bin,count,mean,std,min,max,state,predictor
0-5,683782,0.7156989,0.9850666,0.0,102.59,Alabama,mean
5-10,27747,2.771405,3.4773574,0.0,76.0,Alabama,mean
10-15,11165,5.199845,5.250367,0.0,91.11,Alabama,mean
15-20,7082,7.699496,6.9522815,0.34,121.35,Alabama,mean
20-25,5142,10.394284,8.162325,0.36,109.46,Alabama,mean
25-30,3948,13.346596,9.694328,0.38,125.1,Alabama,mean
30-35,2949,16.59102,11.148603,0.41,87.76,Alabama,mean
35-40,2278,19.999527,12.898078,0.0,106.13,Alabama,mean
40-45,1707,23.766542,14.211098,0.53,129.92,Alabama,mean
45-50,1332,29.294573,16.567596,0.47,159.5,Alabama,mean
50-55,964,34.536587,20.845184,1.06,152.48,Alabama,mean
55-60,722,39.08111,21.395308,2.01,159.82,Alabama,mean
60-65,479,43.466053,24.641788,0.55,210.66,Alabama,mean
65-70,381,51.00404,29.243776,0.52,167.56,Alabama,mean
70-75,254,55.098816,29.87503,0.5,213.55,Alabama,mean
75-80,176,65.03421,32.182842,11.05,203.6,Alabama,mean
80-85,111,77.618645,42.250145,0.55,200.44,Alabama,mean
85-90,53,99.08415,56.64592,3.21,183.25,Alabama,mean
90-95,4,56.865,76.86263,3.91,166.96,Alabama,mean
95-100,0,,,,,Alabama,mean
