imp_bin,count,mean,std,min,max,state,predictor
0-5,1615607,0.3769144,0.9356708,0.0,401.12,Arizona,mean
5-10,11624,3.3269467,6.8083134,0.14,145.83,Arizona,mean
10-15,5164,6.499404,9.867656,0.2,185.14,Arizona,mean
15-20,3598,8.57669,10.6230955,0.26,189.53,Arizona,mean
20-25,3047,11.405274,14.756412,0.28,398.69,Arizona,mean
25-30,2759,14.162078,16.233637,0.4,278.07,Arizona,mean
30-35,2760,16.44481,14.593297,0.43,227.53,Arizona,mean
35-40,2744,19.630638,16.587893,0.43,418.26,Arizona,mean
40-45,2746,23.246038,15.560495,0.51,161.43,Arizona,mean
45-50,2899,26.269032,17.205122,0.5,231.87,Arizona,mean
50-55,3104,29.94007,18.034052,1.01,255.95,Arizona,mean
55-60,2578,34.65425,20.678606,1.48,287.15,Arizona,mean
60-65,1617,43.67095,24.49024,2.35,240.92,Arizona,mean
65-70,1017,54.617188,27.297194,2.82,273.94,Arizona,mean
70-75,646,61.816406,29.38036,3.08,211.01,Arizona,mean
75-80,377,74.45231,32.225784,8.59,258.1,Arizona,mean
80-85,155,84.0862,37.68772,9.33,212.07,Arizona,mean
85-90,29,93.05103,44.307755,18.03,215.31,Arizona,mean
90-95,0,,,,,Arizona,mean
95-100,0,,,,,Arizona,mean
