imp_bin,count,mean,std,min,max,state,predictor
0-5,734040,0.6330123,0.85969615,0.2,172.42,Arkansas,mean
5-10,20853,2.4368882,3.208551,0.26,76.62,Arkansas,mean
10-15,7207,4.962128,6.0593996,0.32,141.39,Arkansas,mean
15-20,4023,7.695217,7.211861,0.37,82.57,Arkansas,mean
20-25,2999,10.560277,9.25425,0.42,139.71,Arkansas,mean
25-30,2395,13.856748,10.256372,0.42,101.08,Arkansas,mean
30-35,1993,16.663713,10.570423,0.64,129.16,Arkansas,mean
35-40,1672,20.335814,13.235279,0.76,129.75,Arkansas,mean
40-45,1378,23.908243,14.246063,0.46,115.01,Arkansas,mean
45-50,989,28.578716,16.744576,0.47,155.38,Arkansas,mean
50-55,695,33.69154,17.28801,1.17,134.17,Arkansas,mean
55-60,579,40.176582,19.997078,0.55,167.51,Arkansas,mean
60-65,382,45.6788,23.177435,5.44,150.82,Arkansas,mean
65-70,281,49.909145,25.346748,0.61,155.19,Arkansas,mean
70-75,179,55.540672,26.793726,5.01,162.07,Arkansas,mean
75-80,113,67.62407,28.73306,12.01,165.31,Arkansas,mean
80-85,54,66.82426,31.681509,5.06,143.25,Arkansas,mean
85-90,15,92.400665,34.429527,26.14,150.73,Arkansas,mean
90-95,0,,,,,Arkansas,mean
95-100,0,,,,,Arkansas,mean
