imp_bin,count,mean,std,min,max,state,predictor
0-5,2296049,0.4946065,2.1008003,-0.06,2278.82,California,mean
5-10,47055,2.5910316,21.468433,0.12,3003.88,California,mean
10-15,19004,4.6780076,19.114481,0.0,2486.06,California,mean
15-20,12394,6.89703,27.650846,0.21,2936.57,California,mean
20-25,9539,8.738875,10.959431,0.23,504.11,California,mean
25-30,8474,10.823802,10.632113,0.26,172.56,California,mean
30-35,8155,13.09805,13.515844,0.26,570.76,California,mean
35-40,8080,15.159711,12.882668,0.0,211.75,California,mean
40-45,8783,17.204739,13.245691,0.4,252.34,California,mean
45-50,9920,19.323381,13.203822,0.32,213.32,California,mean
50-55,11094,22.440933,14.515084,0.35,317.31,California,mean
55-60,10996,25.529045,14.812258,0.32,234.88,California,mean
60-65,8564,30.56193,16.915861,0.97,361.96,California,mean
65-70,5957,37.35392,18.6855,0.98,218.55,California,mean
70-75,4500,44.56093,21.246738,1.47,212.69,California,mean
75-80,3254,51.237682,23.46898,1.86,293.26,California,mean
80-85,2175,58.660366,26.944483,1.65,284.21,California,mean
85-90,1070,67.968544,32.898983,16.95,319.32,California,mean
90-95,196,85.16153,41.726795,18.75,282.62,California,mean
95-100,1,83.14,,83.14,83.14,California,mean
