imp_bin,count,mean,std,min,max,state,predictor
0-5,1561882,0.38487098,0.65479094,0.0,193.89,Colorado,mean
5-10,18006,1.9354998,4.654493,0.13,371.35,Colorado,mean
10-15,5895,4.4017386,8.383437,0.22,345.14,Colorado,mean
15-20,3750,6.3769493,8.018873,0.26,122.98,Colorado,mean
20-25,2803,9.074659,9.745907,0.25,119.79,Colorado,mean
25-30,2481,11.281951,10.943082,0.31,179.54,Colorado,mean
30-35,2493,14.519478,12.332169,0.42,179.65,Colorado,mean
35-40,2678,17.736883,12.591974,0.37,146.46,Colorado,mean
40-45,3107,20.690262,13.738894,0.91,161.24,Colorado,mean
45-50,2951,24.656456,15.363708,0.44,151.92,Colorado,mean
50-55,2246,27.967916,17.870516,0.54,223.76,Colorado,mean
55-60,1505,36.32337,21.340813,2.1,191.04,Colorado,mean
60-65,974,45.35009,23.075645,2.06,212.69,Colorado,mean
65-70,631,57.371002,26.89539,0.76,224.35,Colorado,mean
70-75,329,63.836685,27.153015,3.23,220.84,Colorado,mean
75-80,228,75.64088,36.154453,4.12,238.72,Colorado,mean
80-85,79,95.8176,62.63104,16.55,241.71,Colorado,mean
85-90,11,74.05545,60.148014,25.9,235.84,Colorado,mean
90-95,0,,,,,Colorado,mean
95-100,0,,,,,Colorado,mean
