imp_bin,count,mean,std,min,max,state,predictor
0-5,62892,1.2430917,1.2861621,0.0,50.2,Connecticut,mean
5-10,8283,3.1577966,2.9512746,0.0,62.62,Connecticut,mean
10-15,4394,4.8691373,3.8703618,0.0,45.09,Connecticut,mean
15-20,2969,6.845301,5.213842,0.0,60.47,Connecticut,mean
20-25,2328,8.681817,5.7635922,0.0,54.03,Connecticut,mean
25-30,1820,10.653445,6.785235,0.0,66.0,Connecticut,mean
30-35,1347,13.331982,7.6137805,0.0,60.19,Connecticut,mean
35-40,1016,15.960768,8.809764,0.0,64.77,Connecticut,mean
40-45,812,18.887192,9.600442,0.0,73.3,Connecticut,mean
45-50,649,21.638721,10.694655,0.0,95.92,Connecticut,mean
50-55,545,26.351633,12.112667,2.48,100.27,Connecticut,mean
55-60,413,29.79,12.347892,6.28,83.24,Connecticut,mean
60-65,324,33.86574,15.795919,6.56,114.12,Connecticut,mean
65-70,266,39.591766,17.242346,10.79,115.04,Connecticut,mean
70-75,187,46.7392,17.552206,17.33,113.15,Connecticut,mean
75-80,126,56.96,20.36878,23.12,116.62,Connecticut,mean
80-85,76,68.22066,26.910326,0.0,130.08,Connecticut,mean
85-90,12,79.4425,23.230213,39.9,118.68,Connecticut,mean
90-95,0,,,,,Connecticut,mean
95-100,0,,,,,Connecticut,mean
