imp_bin,count,mean,std,min,max,state,predictor
0-5,27553,1.3295357,1.5822686,0.34,41.37,Delaware,mean
5-10,3239,3.1571996,3.7800412,0.58,51.23,Delaware,mean
10-15,1648,5.6140046,5.543429,0.62,52.8,Delaware,mean
15-20,1134,7.65433,6.3957114,0.84,44.62,Delaware,mean
20-25,808,9.626795,7.2666154,0.75,54.56,Delaware,mean
25-30,775,12.345033,9.391423,0.72,88.27,Delaware,mean
30-35,661,14.823025,10.214068,1.81,75.57,Delaware,mean
35-40,533,17.564335,11.582206,1.91,97.73,Delaware,mean
40-45,418,21.903755,13.473923,2.86,117.1,Delaware,mean
45-50,349,24.890259,13.847295,3.31,102.87,Delaware,mean
50-55,241,30.679255,16.51989,4.68,157.99,Delaware,mean
55-60,188,37.69314,19.991188,6.08,120.5,Delaware,mean
60-65,135,44.791187,19.129614,7.11,103.24,Delaware,mean
65-70,102,47.575294,19.992249,13.47,109.86,Delaware,mean
70-75,90,55.862225,24.970238,9.16,120.62,Delaware,mean
75-80,43,62.253254,26.012352,7.87,117.34,Delaware,mean
80-85,25,66.6196,30.145134,12.17,147.35,Delaware,mean
85-90,15,81.17533,42.890682,12.48,134.03,Delaware,mean
90-95,0,,,,,Delaware,mean
95-100,0,,,,,Delaware,mean
