imp_bin,count,mean,std,min,max,state,predictor
0-5,77,15.756623,12.585379,5.88,96.95,District of Columbia,mean
5-10,41,23.983171,15.560304,10.26,91.13,District of Columbia,mean
10-15,39,32.655388,12.203075,14.28,54.84,District of Columbia,mean
15-20,34,35.234116,18.370182,15.37,86.64,District of Columbia,mean
20-25,46,45.941525,21.50292,19.34,108.33,District of Columbia,mean
25-30,53,50.24943,25.94861,20.15,123.61,District of Columbia,mean
30-35,48,51.730625,22.066732,14.95,123.19,District of Columbia,mean
35-40,50,61.8276,26.988094,26.42,159.58,District of Columbia,mean
40-45,59,65.88356,28.519917,17.94,191.34,District of Columbia,mean
45-50,59,68.18118,33.73756,29.81,233.6,District of Columbia,mean
50-55,67,73.05567,24.39608,19.91,132.67,District of Columbia,mean
55-60,76,80.80631,25.269411,20.47,214.73,District of Columbia,mean
60-65,73,101.22507,42.850307,27.57,274.05,District of Columbia,mean
65-70,68,124.367645,54.031414,33.43,244.48,District of Columbia,mean
70-75,64,164.18657,50.15345,52.22,294.29,District of Columbia,mean
75-80,50,178.7318,59.86727,46.08,366.0,District of Columbia,mean
80-85,36,222.57195,69.09324,101.01,359.05,District of Columbia,mean
85-90,15,305.35464,87.538704,119.42,467.52,District of Columbia,mean
90-95,0,,,,,District of Columbia,mean
95-100,0,,,,,District of Columbia,mean
