imp_bin,count,mean,std,min,max,state,predictor
0-5,738627,0.8237789,1.4130058,-0.3,200.61,Florida,mean
5-10,33442,3.3202915,4.6977015,0.0,115.43,Florida,mean
10-15,20389,5.3788853,6.2937727,0.0,114.65,Florida,mean
15-20,16903,6.9622045,6.985529,0.0,94.28,Florida,mean
20-25,14640,9.511511,9.306985,0.0,210.39,Florida,mean
25-30,13288,12.021298,9.865934,0.0,125.6,Florida,mean
30-35,12379,14.974232,11.459983,0.0,143.49,Florida,mean
35-40,10840,18.456713,13.204583,0.0,167.37,Florida,mean
40-45,9958,22.462439,14.910076,0.0,139.3,Florida,mean
45-50,8358,26.851662,16.95942,0.0,152.26,Florida,mean
50-55,6539,33.061447,19.895868,0.0,182.01,Florida,mean
55-60,4727,40.308678,23.068525,0.0,187.1,Florida,mean
60-65,3173,49.32762,26.584312,0.0,209.81,Florida,mean
65-70,1995,58.60379,28.77116,0.0,237.15,Florida,mean
70-75,1275,69.247025,34.366787,2.09,230.09,Florida,mean
75-80,727,78.96018,38.98363,3.18,297.05,Florida,mean
80-85,284,96.62426,50.44807,2.46,331.01,Florida,mean
85-90,47,122.55149,63.966393,5.5,296.66,Florida,mean
90-95,0,,,,,Florida,mean
95-100,0,,,,,Florida,mean
