imp_bin,count,mean,std,min,max,state,predictor
0-5,739597,0.7803782,1.4991119,0.0,493.27,Georgia,mean
5-10,39337,3.032356,3.5661495,0.28,88.53,Georgia,mean
10-15,18394,5.64557,5.2598815,0.33,93.46,Georgia,mean
15-20,12903,8.477668,6.8624506,0.35,111.36,Georgia,mean
20-25,9831,11.273697,8.4635315,0.0,148.47,Georgia,mean
25-30,7510,14.104456,9.521393,0.44,126.22,Georgia,mean
30-35,5635,17.490423,11.3361635,0.44,137.92,Georgia,mean
35-40,4124,21.625345,13.189146,0.52,175.15,Georgia,mean
40-45,3008,26.394314,15.363606,0.61,202.5,Georgia,mean
45-50,2293,30.938992,17.012024,0.77,242.01,Georgia,mean
50-55,1817,36.21708,18.698164,0.97,157.53,Georgia,mean
55-60,1424,40.404606,20.782682,2.18,180.26,Georgia,mean
60-65,1106,47.219196,24.166748,0.94,208.32,Georgia,mean
65-70,854,54.733196,30.151909,5.61,294.75,Georgia,mean
70-75,569,59.989193,31.86875,5.68,266.52,Georgia,mean
75-80,432,73.476456,50.354248,1.74,460.71,Georgia,mean
80-85,232,96.099785,70.26772,5.52,462.89,Georgia,mean
85-90,70,119.020424,89.00978,6.08,349.83,Georgia,mean
90-95,2,20.255001,5.423509,16.42,24.09,Georgia,mean
95-100,0,,,,,Georgia,mean
