imp_bin,count,mean,std,min,max,state,predictor
0-5,1357972,0.3685741,0.31475094,-0.36,45.65,Idaho,mean
5-10,27588,0.92608017,1.6857437,-0.08,55.87,Idaho,mean
10-15,6240,2.0379727,3.8399608,0.09,107.79,Idaho,mean
15-20,2576,3.6365876,4.859084,0.22,60.08,Idaho,mean
20-25,1718,5.304424,6.310806,0.27,56.77,Idaho,mean
25-30,1319,6.9763002,6.5913897,0.23,66.12,Idaho,mean
30-35,1138,9.60601,9.619933,0.36,113.33,Idaho,mean
35-40,1158,11.828126,9.97271,0.56,161.6,Idaho,mean
40-45,1204,14.128057,9.999746,0.44,76.13,Idaho,mean
45-50,1160,16.531818,10.608306,0.53,162.48,Idaho,mean
50-55,918,19.87904,13.187461,0.43,124.25,Idaho,mean
55-60,576,24.711908,15.31001,0.48,112.84,Idaho,mean
60-65,326,33.853867,22.169876,2.51,146.04,Idaho,mean
65-70,275,36.027744,20.805763,0.54,164.65,Idaho,mean
70-75,122,43.415,26.684483,4.44,175.23,Idaho,mean
75-80,102,52.620686,30.534065,5.65,162.65,Idaho,mean
80-85,40,53.090504,28.12309,12.99,134.98,Idaho,mean
85-90,13,49.727688,32.952717,16.65,145.43,Idaho,mean
90-95,2,33.82,1.65463,32.65,34.99,Idaho,mean
95-100,0,,,,,Idaho,mean
