imp_bin,count,mean,std,min,max,state,predictor
0-5,791322,0.77522284,1.3951211,0.22,298.47,Illinois,mean
5-10,42203,2.3621788,4.7533245,0.28,397.71,Illinois,mean
10-15,14258,5.1431756,8.328332,0.32,417.67,Illinois,mean
15-20,9138,7.734234,9.50745,0.35,490.32,Illinois,mean
20-25,7201,10.563657,10.170927,0.46,316.32,Illinois,mean
25-30,6277,13.080014,11.023874,0.42,198.6,Illinois,mean
30-35,6002,15.999466,13.809614,0.49,587.22,Illinois,mean
35-40,6118,18.617544,18.502224,0.59,1071.11,Illinois,mean
40-45,5906,21.707804,13.4707,0.62,198.03,Illinois,mean
45-50,4987,26.001993,15.204505,1.02,214.73,Illinois,mean
50-55,3826,31.705526,18.707039,0.77,339.18,Illinois,mean
55-60,3165,39.000214,20.921427,0.68,239.11,Illinois,mean
60-65,2560,47.982006,28.712595,0.7,905.24,Illinois,mean
65-70,2256,58.04108,27.40054,1.55,425.86,Illinois,mean
70-75,1940,68.46933,30.905462,1.35,424.84,Illinois,mean
75-80,1370,79.88066,37.991455,2.76,448.25,Illinois,mean
80-85,939,92.81857,43.82658,2.59,295.27,Illinois,mean
85-90,348,111.49595,53.518135,19.04,371.51,Illinois,mean
90-95,6,108.02834,54.044327,32.64,181.67,Illinois,mean
95-100,0,,,,,Illinois,mean
