imp_bin,count,mean,std,min,max,state,predictor
0-5,476833,0.91853917,1.1416621,0.31,165.76,Indiana,mean
5-10,40152,2.1716893,3.2804112,0.36,241.83,Indiana,mean
10-15,12176,4.5559263,5.249786,0.0,161.48,Indiana,mean
15-20,7054,7.5047235,7.0157332,0.0,133.44,Indiana,mean
20-25,5620,10.038323,8.334237,0.0,168.33,Indiana,mean
25-30,4705,12.865724,9.041861,0.54,87.85,Indiana,mean
30-35,4357,15.54482,10.705075,0.57,151.15,Indiana,mean
35-40,4118,18.320675,12.083849,0.0,161.98,Indiana,mean
40-45,3578,21.268147,12.303182,0.0,135.93,Indiana,mean
45-50,2899,25.68668,14.819704,1.08,185.58,Indiana,mean
50-55,2219,30.72082,16.633759,2.13,257.93,Indiana,mean
55-60,1777,35.962517,17.788328,0.0,157.1,Indiana,mean
60-65,1435,41.486996,19.658653,0.0,143.86,Indiana,mean
65-70,1097,47.338425,24.082005,1.93,240.35,Indiana,mean
70-75,795,53.463497,24.56289,0.0,175.82,Indiana,mean
75-80,521,59.71837,31.640871,0.0,308.67,Indiana,mean
80-85,325,70.22901,43.048595,0.0,318.42,Indiana,mean
85-90,174,78.87505,52.247917,0.0,306.06,Indiana,mean
90-95,7,58.888573,33.288616,17.37,109.86,Indiana,mean
95-100,0,,,,,Indiana,mean
