imp_bin,count,mean,std,min,max,state,predictor
0-5,836165,0.5878281,0.8630641,0.16,293.57,Iowa,mean
5-10,43029,1.330133,2.4182272,0.23,77.22,Iowa,mean
10-15,8725,3.7171001,6.1010585,0.31,281.02,Iowa,mean
15-20,4397,6.3953037,7.708672,0.32,140.63,Iowa,mean
20-25,3230,8.977858,9.901487,0.39,319.38,Iowa,mean
25-30,2660,11.621109,9.819005,0.63,96.64,Iowa,mean
30-35,2474,13.953452,11.30432,0.47,129.51,Iowa,mean
35-40,2324,16.69897,12.115572,0.55,144.95,Iowa,mean
40-45,2178,20.85157,14.903478,0.95,151.21,Iowa,mean
45-50,1662,23.92763,15.374236,1.74,142.56,Iowa,mean
50-55,1153,28.860807,17.089115,1.03,112.99,Iowa,mean
55-60,881,35.040737,21.989742,1.95,196.62,Iowa,mean
60-65,626,42.96946,24.87793,1.21,147.28,Iowa,mean
65-70,433,47.17321,25.978752,1.28,164.77,Iowa,mean
70-75,282,55.756916,27.838745,1.98,207.61,Iowa,mean
75-80,175,62.38206,32.659058,1.26,165.77,Iowa,mean
80-85,96,69.37115,31.603937,14.75,146.72,Iowa,mean
85-90,44,113.48864,70.22171,31.59,306.95,Iowa,mean
90-95,1,29.95,,29.95,29.95,Iowa,mean
95-100,0,,,,,Iowa,mean
