imp_bin,count,mean,std,min,max,state,predictor
0-5,1216320,0.4546123,0.656853,0.09,255.08,Kansas,mean
5-10,21568,1.6389966,3.0297904,0.21,126.06,Kansas,mean
10-15,5948,3.9126227,5.163252,0.27,60.27,Kansas,mean
15-20,3449,6.690461,7.128511,0.31,65.41,Kansas,mean
20-25,2578,9.4606905,8.921139,0.29,103.95,Kansas,mean
25-30,2376,11.557374,9.258528,0.39,81.55,Kansas,mean
30-35,2199,15.225694,11.543883,0.41,121.7,Kansas,mean
35-40,2215,17.560637,12.155873,0.45,148.2,Kansas,mean
40-45,2067,19.800755,13.245819,0.89,151.31,Kansas,mean
45-50,1722,23.183008,15.037493,0.58,154.37,Kansas,mean
50-55,1303,28.89291,18.67583,1.17,230.42,Kansas,mean
55-60,944,35.196587,20.980522,3.64,154.77,Kansas,mean
60-65,662,40.486088,25.355373,1.78,340.91,Kansas,mean
65-70,468,48.973694,28.07768,2.58,326.05,Kansas,mean
70-75,321,57.729004,29.806572,2.41,204.19,Kansas,mean
75-80,164,65.11439,33.50863,13.31,189.22,Kansas,mean
80-85,146,81.001305,43.28288,4.75,278.24,Kansas,mean
85-90,45,105.58511,41.81132,15.0,198.32,Kansas,mean
90-95,1,142.63,,142.63,142.63,Kansas,mean
95-100,0,,,,,Kansas,mean
