imp_bin,count,mean,std,min,max,state,predictor
0-5,557804,0.7896991,0.9265745,0.22,70.6,Kentucky,mean
5-10,23083,2.6387615,3.505239,0.32,89.27,Kentucky,mean
10-15,8717,4.908641,5.2490153,0.32,63.83,Kentucky,mean
15-20,4844,7.943664,6.7762733,0.42,71.71,Kentucky,mean
20-25,3462,11.017599,8.398072,0.41,150.78,Kentucky,mean
25-30,2869,14.026173,9.488158,0.49,86.52,Kentucky,mean
30-35,2424,17.732277,11.493743,0.52,205.59,Kentucky,mean
35-40,1865,21.139538,11.897642,0.56,132.34,Kentucky,mean
40-45,1599,24.94982,13.407943,0.85,140.82,Kentucky,mean
45-50,1165,30.485184,16.538317,0.5,157.22,Kentucky,mean
50-55,972,35.235176,19.802124,0.75,258.38,Kentucky,mean
55-60,731,39.91594,18.228312,1.84,116.43,Kentucky,mean
60-65,548,46.161095,21.912354,0.9,194.55,Kentucky,mean
65-70,407,53.700516,24.77155,1.88,138.94,Kentucky,mean
70-75,272,58.445183,28.424652,1.35,164.92,Kentucky,mean
75-80,234,69.437775,32.464703,3.18,190.53,Kentucky,mean
80-85,124,87.26637,46.186787,0.89,233.44,Kentucky,mean
85-90,48,111.31042,50.69725,29.19,226.22,Kentucky,mean
90-95,0,,,,,Kentucky,mean
95-100,0,,,,,Kentucky,mean
