imp_bin,count,mean,std,min,max,state,predictor
0-5,665367,0.67311215,1.6567738,0.0,688.68,Louisiana,mean
5-10,23935,2.785961,7.7463927,0.22,854.46,Louisiana,mean
10-15,9825,5.3151183,9.020527,0.28,631.5,Louisiana,mean
15-20,5929,8.931125,35.863262,0.29,2219.12,Louisiana,mean
20-25,4086,11.74674,32.353832,0.3,1956.73,Louisiana,mean
25-30,3284,14.83687,27.531673,0.32,1431.79,Louisiana,mean
30-35,2686,19.086927,34.089863,0.46,1628.1,Louisiana,mean
35-40,2275,24.425419,66.66062,0.5,2767.06,Louisiana,mean
40-45,1890,29.748112,80.82568,0.44,2717.05,Louisiana,mean
45-50,1587,32.41233,27.506355,0.68,821.63,Louisiana,mean
50-55,1312,39.668255,51.038296,0.65,1439.12,Louisiana,mean
55-60,1095,47.682896,99.33743,2.87,3210.18,Louisiana,mean
60-65,823,56.26949,61.533974,2.2,1166.94,Louisiana,mean
65-70,555,74.787476,181.57217,4.65,2339.3,Louisiana,mean
70-75,380,79.470764,150.20805,7.64,2250.4,Louisiana,mean
75-80,282,103.81514,162.3511,4.46,1558.85,Louisiana,mean
80-85,166,172.76796,379.84512,4.79,2908.28,Louisiana,mean
85-90,86,179.41652,197.42206,21.61,1662.14,Louisiana,mean
90-95,0,,,,,Louisiana,mean
95-100,0,,,,,Louisiana,mean
