imp_bin,count,mean,std,min,max,state,predictor
0-5,577507,0.46469957,0.37671906,0.0,57.5,Maine,mean
5-10,14250,1.2288042,1.6196749,0.0,38.55,Maine,mean
10-15,3949,2.3170118,2.6058912,0.3,29.46,Maine,mean
15-20,1932,4.014534,4.6137767,0.35,83.3,Maine,mean
20-25,1225,5.4054284,4.625408,0.0,54.08,Maine,mean
25-30,851,6.905135,5.14731,0.32,41.92,Maine,mean
30-35,650,8.469723,6.280042,0.41,49.16,Maine,mean
35-40,536,11.20985,7.211111,0.43,63.17,Maine,mean
40-45,382,12.662486,8.389361,0.53,53.0,Maine,mean
45-50,310,15.090775,8.898874,0.39,54.99,Maine,mean
50-55,250,18.7736,11.141669,0.46,76.73,Maine,mean
55-60,164,21.607073,12.952322,0.47,78.31,Maine,mean
60-65,129,22.212946,12.317903,0.56,66.87,Maine,mean
65-70,69,27.640291,14.897003,0.5,77.01,Maine,mean
70-75,61,33.98672,17.688723,0.48,97.98,Maine,mean
75-80,28,36.923214,14.284583,5.54,65.76,Maine,mean
80-85,21,46.59952,16.466593,16.63,84.21,Maine,mean
85-90,8,71.62,15.753483,39.24,87.37,Maine,mean
90-95,0,,,,,Maine,mean
95-100,0,,,,,Maine,mean
