imp_bin,count,mean,std,min,max,state,predictor
0-5,149219,1.1481023,1.5719604,0.17,114.72,Maryland,mean
5-10,13069,3.4539888,4.1845145,0.41,64.76,Maryland,mean
10-15,5892,6.384394,6.7729516,0.43,140.54,Maryland,mean
15-20,4071,9.629497,8.172279,0.49,125.17,Maryland,mean
20-25,3335,12.708455,9.462121,0.5,97.19,Maryland,mean
25-30,2982,16.174627,10.742299,0.64,126.6,Maryland,mean
30-35,2433,20.321245,13.745284,0.95,174.71,Maryland,mean
35-40,2160,24.474588,14.554524,0.68,123.31,Maryland,mean
40-45,1706,29.137989,15.593912,0.66,169.97,Maryland,mean
45-50,1401,34.502377,17.799942,0.7,178.53,Maryland,mean
50-55,1006,40.07338,19.303493,4.74,264.16,Maryland,mean
55-60,782,48.29816,25.349955,0.64,309.02,Maryland,mean
60-65,636,53.891792,24.517744,1.05,263.48,Maryland,mean
65-70,478,61.300587,25.494656,3.83,185.29,Maryland,mean
70-75,355,66.72361,26.505512,3.08,156.97,Maryland,mean
75-80,254,80.372475,44.05411,2.94,501.22,Maryland,mean
80-85,179,101.499664,52.71165,14.59,494.54,Maryland,mean
85-90,120,133.1615,70.445786,4.41,415.38,Maryland,mean
90-95,0,,,,,Maryland,mean
95-100,0,,,,,Maryland,mean
