imp_bin,count,mean,std,min,max,state,predictor
0-5,120979,1.0478567,1.3879405,0.21,96.6,Massachusetts,mean
5-10,13610,3.0565937,3.4402177,0.34,94.73,Massachusetts,mean
10-15,8979,4.3507886,4.077789,0.39,85.47,Massachusetts,mean
15-20,6320,5.770744,5.130356,0.44,70.77,Massachusetts,mean
20-25,4709,7.592149,6.3647394,0.53,108.48,Massachusetts,mean
25-30,3419,9.583729,7.4842863,0.64,117.28,Massachusetts,mean
30-35,2688,11.867835,8.109913,0.9,67.78,Massachusetts,mean
35-40,2024,14.572076,9.846467,1.12,152.83,Massachusetts,mean
40-45,1573,17.214628,11.501681,1.13,247.07,Massachusetts,mean
45-50,1243,20.249413,11.6213665,1.72,118.43,Massachusetts,mean
50-55,994,24.382645,13.898725,2.5,133.49,Massachusetts,mean
55-60,849,28.440752,14.295699,3.4,124.55,Massachusetts,mean
60-65,724,33.374214,16.39818,2.82,142.11,Massachusetts,mean
65-70,588,38.840935,18.993095,3.99,183.58,Massachusetts,mean
70-75,469,46.10226,20.936007,7.22,180.95,Massachusetts,mean
75-80,315,58.13911,33.833668,6.72,385.46,Massachusetts,mean
80-85,242,74.06157,37.132065,5.16,239.61,Massachusetts,mean
85-90,102,104.852646,57.248074,9.47,440.58,Massachusetts,mean
90-95,3,208.09668,38.74994,167.0,243.97,Massachusetts,mean
95-100,0,,,,,Massachusetts,mean
