imp_bin,count,mean,std,min,max,state,predictor
0-5,1512849,0.5174894,0.6066278,-0.17,81.86,Michigan,mean
5-10,51762,1.6899033,2.4127262,0.0,121.75,Michigan,mean
10-15,16981,3.36383,4.919406,0.0,374.07,Michigan,mean
15-20,10348,5.3073373,5.5322275,0.0,133.46,Michigan,mean
20-25,7848,7.3382683,7.1809545,0.0,233.01,Michigan,mean
25-30,6611,9.650058,10.221459,0.0,581.45,Michigan,mean
30-35,5702,11.861886,8.65829,0.0,116.53,Michigan,mean
35-40,5158,14.425799,9.901388,0.41,210.04,Michigan,mean
40-45,4417,17.832968,19.654272,0.44,828.84,Michigan,mean
45-50,3997,21.024788,12.327153,0.62,223.66,Michigan,mean
50-55,3605,25.147047,13.17707,1.26,126.65,Michigan,mean
55-60,3164,29.615925,14.696958,0.81,132.64,Michigan,mean
60-65,2378,36.413467,37.391155,1.17,1674.04,Michigan,mean
65-70,1689,42.12974,19.612568,2.24,163.89,Michigan,mean
70-75,1172,48.519444,31.087389,0.0,692.95,Michigan,mean
75-80,803,58.768394,32.52659,0.0,330.03,Michigan,mean
80-85,469,75.53561,90.92953,1.33,1769.59,Michigan,mean
85-90,187,87.551605,71.93412,8.99,475.37,Michigan,mean
90-95,1,96.16,,96.16,96.16,Michigan,mean
95-100,0,,,,,Michigan,mean
