imp_bin,count,mean,std,min,max,state,predictor
0-5,1425641,0.55046964,3.8711333,0.0,3665.68,Minnesota,mean
5-10,42980,1.5322076,8.399408,0.26,1671.09,Minnesota,mean
10-15,10251,3.7214856,12.785738,0.0,1212.62,Minnesota,mean
15-20,5846,6.0032873,7.989111,0.31,410.17,Minnesota,mean
20-25,4489,7.977723,7.480344,0.38,186.53,Minnesota,mean
25-30,3982,10.540818,22.517412,0.57,1308.35,Minnesota,mean
30-35,3980,13.357473,81.80837,0.52,5146.24,Minnesota,mean
35-40,3639,14.476282,9.281572,0.41,133.26,Minnesota,mean
40-45,2897,18.392761,33.98065,0.58,1689.27,Minnesota,mean
45-50,2259,25.654785,144.53107,0.6,6247.43,Minnesota,mean
50-55,1826,27.608603,68.199844,0.65,2881.29,Minnesota,mean
55-60,1304,29.968534,15.163997,0.8,120.03,Minnesota,mean
60-65,1053,36.644928,18.241465,3.69,174.93,Minnesota,mean
65-70,732,41.612404,18.878147,1.17,162.12,Minnesota,mean
70-75,493,50.36933,22.461014,10.91,151.38,Minnesota,mean
75-80,323,58.240154,24.9911,3.11,199.45,Minnesota,mean
80-85,184,78.77441,45.94106,19.92,302.16,Minnesota,mean
85-90,48,114.65417,56.18739,25.43,240.27,Minnesota,mean
90-95,0,,,,,Minnesota,mean
95-100,0,,,,,Minnesota,mean
