imp_bin,count,mean,std,min,max,state,predictor
0-5,649175,0.65741915,1.3476639,0.0,337.74,Mississippi,mean
5-10,19752,2.6022038,3.8927772,0.0,135.28,Mississippi,mean
10-15,6754,5.603274,5.942684,0.0,109.0,Mississippi,mean
15-20,4061,8.607998,8.406379,0.0,181.27,Mississippi,mean
20-25,3053,11.451903,9.288419,0.31,102.4,Mississippi,mean
25-30,2332,14.736806,14.751081,0.0,477.75,Mississippi,mean
30-35,1797,17.591919,11.875663,0.0,127.69,Mississippi,mean
35-40,1355,20.809423,13.092977,0.0,107.95,Mississippi,mean
40-45,1025,26.204174,18.954065,0.0,231.38,Mississippi,mean
45-50,747,30.977337,20.111086,0.0,245.48,Mississippi,mean
50-55,536,35.18153,23.647179,0.0,250.27,Mississippi,mean
55-60,387,43.430077,29.846289,0.0,258.15,Mississippi,mean
60-65,277,47.53668,40.119778,0.0,522.91,Mississippi,mean
65-70,200,51.319702,30.108698,1.34,190.62,Mississippi,mean
70-75,147,59.83789,33.77325,2.69,168.44,Mississippi,mean
75-80,67,84.3094,68.48314,13.08,350.59,Mississippi,mean
80-85,43,62.457672,41.65911,0.0,167.15,Mississippi,mean
85-90,13,126.66154,124.32042,35.23,459.2,Mississippi,mean
90-95,0,,,,,Mississippi,mean
95-100,0,,,,,Mississippi,mean
