imp_bin,count,mean,std,min,max,state,predictor
0-5,996398,0.6157511,0.76268077,0.14,125.42,Missouri,mean
5-10,27842,2.3842633,3.4821239,0.23,63.12,Missouri,mean
10-15,10328,4.626805,5.7489405,0.28,100.44,Missouri,mean
15-20,6150,7.7740846,7.7990317,0.36,124.39,Missouri,mean
20-25,4789,10.777298,8.971371,0.35,104.64,Missouri,mean
25-30,4350,13.710965,9.99561,0.48,111.88,Missouri,mean
30-35,4053,16.796827,11.779005,0.49,157.27,Missouri,mean
35-40,3636,20.071417,13.170814,0.52,143.52,Missouri,mean
40-45,2975,23.49974,14.637683,0.87,142.01,Missouri,mean
45-50,2191,29.28718,17.646152,1.07,182.22,Missouri,mean
50-55,1632,35.569527,20.235579,2.85,154.61,Missouri,mean
55-60,1279,42.94947,22.29066,2.22,180.7,Missouri,mean
60-65,962,49.099792,23.458344,4.48,166.63,Missouri,mean
65-70,744,57.360027,29.061466,5.48,277.38,Missouri,mean
70-75,529,66.89907,33.53809,5.46,291.33,Missouri,mean
75-80,291,80.8988,39.344357,13.63,239.98,Missouri,mean
80-85,228,89.4304,50.55938,14.32,338.05,Missouri,mean
85-90,117,119.57667,80.40187,25.9,411.39,Missouri,mean
90-95,1,61.08,,61.08,61.08,Missouri,mean
95-100,0,,,,,Missouri,mean
