imp_bin,count,mean,std,min,max,state,predictor
0-5,1207087,0.4080569,0.46788728,0.07,69.99,Nebraska,mean
5-10,16844,1.5136107,2.892739,0.16,112.53,Nebraska,mean
10-15,4107,3.9107351,5.390423,0.21,85.03,Nebraska,mean
15-20,2262,7.0462775,8.93968,0.31,169.28,Nebraska,mean
20-25,1614,9.41303,10.104975,0.36,187.73,Nebraska,mean
25-30,1369,12.461279,12.743793,0.48,275.23,Nebraska,mean
30-35,1244,15.4628525,12.629588,0.53,140.75,Nebraska,mean
35-40,1407,19.037079,13.360062,1.02,104.07,Nebraska,mean
40-45,1487,23.625278,14.441702,1.14,151.49,Nebraska,mean
45-50,1345,26.854736,15.975877,2.57,138.57,Nebraska,mean
50-55,1001,30.99156,18.349735,1.79,130.48,Nebraska,mean
55-60,675,39.087585,22.02664,1.73,176.82,Nebraska,mean
60-65,442,47.351063,26.828936,4.94,212.65,Nebraska,mean
65-70,313,56.21965,28.073944,3.01,179.8,Nebraska,mean
70-75,238,60.32769,30.541906,5.51,191.8,Nebraska,mean
75-80,162,66.779816,28.675732,19.61,161.33,Nebraska,mean
80-85,88,87.536705,39.153667,24.65,203.0,Nebraska,mean
85-90,38,113.99842,57.092606,28.62,283.0,Nebraska,mean
90-95,0,,,,,Nebraska,mean
95-100,0,,,,,Nebraska,mean
