imp_bin,count,mean,std,min,max,state,predictor
0-5,1691780,0.32448825,0.5348395,0.0,117.02,Nevada,mean
5-10,12990,1.2039,4.0530806,0.13,109.44,Nevada,mean
10-15,3026,3.5064902,7.817756,0.17,106.01,Nevada,mean
15-20,1616,7.2674875,12.589131,0.2,187.52,Nevada,mean
20-25,1289,9.746137,18.641191,0.22,440.17,Nevada,mean
25-30,1037,14.055506,23.233421,0.22,354.08,Nevada,mean
30-35,928,16.968771,20.223433,0.26,171.35,Nevada,mean
35-40,905,22.134796,23.3383,0.25,225.54,Nevada,mean
40-45,865,27.451515,27.724314,0.4,308.35,Nevada,mean
45-50,908,34.713634,86.71311,0.74,2414.92,Nevada,mean
50-55,1095,38.40892,30.417475,0.38,424.67,Nevada,mean
55-60,1238,43.578117,30.578476,0.32,545.77,Nevada,mean
60-65,1329,52.234306,40.37801,0.33,964.31,Nevada,mean
65-70,942,66.3823,78.15856,1.9,2004.11,Nevada,mean
70-75,523,86.84476,87.93067,3.01,1669.31,Nevada,mean
75-80,346,134.20575,294.64124,1.94,5239.58,Nevada,mean
80-85,248,191.92464,400.28772,13.25,4841.83,Nevada,mean
85-90,143,279.23938,351.682,13.75,1581.52,Nevada,mean
90-95,11,353.8909,386.5639,51.2,1226.89,Nevada,mean
95-100,0,,,,,Nevada,mean
