imp_bin,count,mean,std,min,max,state,predictor
0-5,82840,1.6618023,2.4190133,0.0,120.43,New Jersey,mean
5-10,11615,4.2322135,4.492316,0.47,75.4,New Jersey,mean
10-15,7367,6.472898,6.0636787,0.57,170.02,New Jersey,mean
15-20,5769,8.707791,6.5527344,0.59,80.73,New Jersey,mean
20-25,4874,10.862801,7.8915396,0.97,144.87,New Jersey,mean
25-30,4205,13.146202,8.732565,0.0,126.71,New Jersey,mean
30-35,3681,15.545483,11.688973,0.95,261.88,New Jersey,mean
35-40,3335,17.837427,10.311765,0.0,93.73,New Jersey,mean
40-45,2638,20.844105,13.594686,0.0,258.07,New Jersey,mean
45-50,2181,24.430967,14.474174,1.13,192.38,New Jersey,mean
50-55,1720,27.949862,15.765343,1.2,194.61,New Jersey,mean
55-60,1479,34.45093,19.041386,1.56,200.91,New Jersey,mean
60-65,1146,39.719727,19.371065,4.08,156.61,New Jersey,mean
65-70,1017,46.64582,22.764448,4.13,196.84,New Jersey,mean
70-75,787,58.00094,31.17558,5.16,231.86,New Jersey,mean
75-80,706,67.818825,35.736565,0.0,347.51,New Jersey,mean
80-85,502,84.81911,50.271812,4.58,370.44,New Jersey,mean
85-90,187,111.93192,66.15204,8.09,457.05,New Jersey,mean
90-95,8,156.86874,97.60064,41.49,309.9,New Jersey,mean
95-100,0,,,,,New Jersey,mean
