imp_bin,count,mean,std,min,max,state,predictor
0-5,1750098,0.4542774,3.9257407,-0.04,1512.17,New Mexico,mean
5-10,12476,3.216191,13.083414,-0.04,991.32,New Mexico,mean
10-15,3743,6.382781,19.168724,0.21,694.3,New Mexico,mean
15-20,2101,8.790024,16.161283,0.26,532.46,New Mexico,mean
20-25,1491,12.085036,40.943615,0.3,1516.73,New Mexico,mean
25-30,1162,14.695886,20.293716,0.35,519.83,New Mexico,mean
30-35,975,18.621979,14.692076,0.38,117.84,New Mexico,mean
35-40,896,20.569307,14.57622,0.59,159.63,New Mexico,mean
40-45,786,24.993843,15.552916,2.24,141.64,New Mexico,mean
45-50,753,27.093693,16.40288,4.25,147.33,New Mexico,mean
50-55,668,32.283684,18.310116,2.73,160.86,New Mexico,mean
55-60,523,39.616177,23.499752,8.39,193.73,New Mexico,mean
60-65,380,46.844814,25.141323,10.5,162.94,New Mexico,mean
65-70,207,59.151306,24.649237,12.75,155.6,New Mexico,mean
70-75,121,66.39422,22.95093,8.43,123.81,New Mexico,mean
75-80,65,75.315544,22.69256,16.16,131.95,New Mexico,mean
80-85,23,100.55956,38.096355,48.47,199.69,New Mexico,mean
85-90,2,95.134995,11.320781,87.13,103.14,New Mexico,mean
90-95,0,,,,,New Mexico,mean
95-100,0,,,,,New Mexico,mean
