imp_bin,count,mean,std,min,max,state,predictor
0-5,784892,0.71156496,1.8481228,0.0,935.15,New York,mean
5-10,40479,2.143825,3.4161487,0.0,231.0,New York,mean
10-15,16150,4.1729126,9.326101,0.0,884.34,New York,mean
15-20,10346,6.299972,6.885411,0.0,143.54,New York,mean
20-25,7789,8.482393,14.8546095,0.0,1152.62,New York,mean
25-30,6322,10.64304,8.187791,0.55,99.32,New York,mean
30-35,4996,13.496791,11.606896,0.62,452.06,New York,mean
35-40,4096,15.950549,10.157598,0.0,92.91,New York,mean
40-45,3396,19.38674,11.66913,0.45,154.76,New York,mean
45-50,2873,23.02274,12.768122,0.0,155.78,New York,mean
50-55,2650,27.005095,14.188573,0.0,218.86,New York,mean
55-60,2240,31.187695,15.480109,0.77,209.28,New York,mean
60-65,1940,36.38709,16.970495,0.0,201.28,New York,mean
65-70,1558,43.501007,19.124142,2.37,143.22,New York,mean
70-75,1366,49.757767,23.273563,1.29,360.44,New York,mean
75-80,1186,61.59178,30.330696,3.69,415.64,New York,mean
80-85,1061,75.8348,36.46656,2.63,391.44,New York,mean
85-90,281,96.23274,50.604607,7.02,302.6,New York,mean
90-95,5,139.382,57.298058,77.97,231.41,New York,mean
95-100,0,,,,,New York,mean
