imp_bin,count,mean,std,min,max,state,predictor
0-5,677464,0.95739174,1.1116157,-0.02,174.43,North Carolina,mean
5-10,46111,2.9911327,3.2720597,0.0,88.4,North Carolina,mean
10-15,19661,5.306059,4.986572,0.0,73.88,North Carolina,mean
15-20,12933,7.8345017,6.7019486,0.0,119.57,North Carolina,mean
20-25,9731,10.51347,7.992388,0.0,135.33,North Carolina,mean
25-30,7452,13.353748,9.160449,0.0,148.14,North Carolina,mean
30-35,5688,16.422855,11.255752,0.59,165.85,North Carolina,mean
35-40,4409,19.889482,12.563572,0.56,135.93,North Carolina,mean
40-45,3297,23.91279,14.630904,0.0,169.34,North Carolina,mean
45-50,2448,27.997635,16.642935,0.9,181.57,North Carolina,mean
50-55,1693,32.73014,18.63668,1.39,186.12,North Carolina,mean
55-60,1360,37.662056,21.268496,0.8,243.84,North Carolina,mean
60-65,928,43.778133,23.365229,0.97,209.13,North Carolina,mean
65-70,685,50.864216,24.581873,1.6,164.21,North Carolina,mean
70-75,452,54.490818,26.147348,0.92,192.75,North Carolina,mean
75-80,262,64.46511,30.517982,4.39,186.56,North Carolina,mean
80-85,118,76.87644,48.29692,0.76,272.06,North Carolina,mean
85-90,34,94.009415,67.4692,17.35,300.71,North Carolina,mean
90-95,1,33.26,,33.26,33.26,North Carolina,mean
95-100,0,,,,,North Carolina,mean
