imp_bin,count,mean,std,min,max,state,predictor
0-5,1222758,0.77130383,8.60433,0.03,2449.54,North Dakota,mean
5-10,19890,4.1553745,31.90478,0.19,1221.83,North Dakota,mean
10-15,3980,5.6348543,22.853376,0.25,812.22,North Dakota,mean
15-20,1755,7.69188,27.824167,0.3,641.14,North Dakota,mean
20-25,1093,9.087484,16.516235,0.33,443.34,North Dakota,mean
25-30,855,10.6331,11.055316,0.45,104.87,North Dakota,mean
30-35,686,13.889738,25.894768,0.49,612.85,North Dakota,mean
35-40,578,17.927336,29.815971,0.69,655.49,North Dakota,mean
40-45,584,19.751284,15.288103,0.8,130.57,North Dakota,mean
45-50,588,24.142551,15.846856,1.02,111.41,North Dakota,mean
50-55,585,28.728819,16.90575,1.42,108.48,North Dakota,mean
55-60,461,37.10369,20.356369,6.13,135.07,North Dakota,mean
60-65,358,45.57877,26.92995,2.14,274.39,North Dakota,mean
65-70,233,56.360172,31.970173,11.82,288.36,North Dakota,mean
70-75,158,63.57234,31.930456,10.35,274.96,North Dakota,mean
75-80,114,69.92587,27.500998,19.33,200.86,North Dakota,mean
80-85,44,85.17409,31.526814,44.32,202.45,North Dakota,mean
85-90,7,106.74572,15.915833,85.04,122.75,North Dakota,mean
90-95,0,,,,,North Dakota,mean
95-100,0,,,,,North Dakota,mean
