imp_bin,count,mean,std,min,max,state,predictor
0-5,572990,1.0419815,2.4240122,0.0,1246.36,Ohio,mean
5-10,52999,2.6829195,10.126972,0.32,1484.89,Ohio,mean
10-15,17093,5.4949684,10.947467,0.37,989.77,Ohio,mean
15-20,11129,8.4207945,7.134755,0.45,158.75,Ohio,mean
20-25,8972,11.13435,18.00805,0.41,1551.07,Ohio,mean
25-30,7916,13.8861685,30.051523,0.62,1915.17,Ohio,mean
30-35,7133,16.088196,31.166842,0.41,2526.36,Ohio,mean
35-40,6109,19.409292,25.082176,0.61,1220.07,Ohio,mean
40-45,5103,22.562765,23.867933,0.68,1103.91,Ohio,mean
45-50,4185,26.812212,16.77638,0.39,664.52,Ohio,mean
50-55,3449,31.31351,16.665194,1.18,395.72,Ohio,mean
55-60,2837,36.629097,21.900507,1.45,685.24,Ohio,mean
60-65,2258,41.546085,23.547436,1.66,502.97,Ohio,mean
65-70,1789,47.583164,21.968826,2.9,193.34,Ohio,mean
70-75,1234,55.802673,37.250324,1.72,554.52,Ohio,mean
75-80,784,60.88931,32.386723,1.79,407.88,Ohio,mean
80-85,494,75.64567,51.669846,5.29,560.33,Ohio,mean
85-90,212,95.95911,74.03716,6.27,472.32,Ohio,mean
90-95,4,21.9875,15.873912,7.5,41.41,Ohio,mean
95-100,0,,,,,Ohio,mean
