imp_bin,count,mean,std,min,max,state,predictor
0-5,973118,0.6547159,1.0347258,0.15,195.71,Oklahoma,mean
5-10,27941,2.460403,4.1114445,0.26,135.59,Oklahoma,mean
10-15,8295,5.248323,7.1005,0.28,149.45,Oklahoma,mean
15-20,4577,8.437791,9.596827,0.33,171.08,Oklahoma,mean
20-25,3194,11.114566,10.471355,0.34,182.66,Oklahoma,mean
25-30,2598,13.993173,12.19518,0.35,234.23,Oklahoma,mean
30-35,2356,17.171143,14.209596,0.49,173.33,Oklahoma,mean
35-40,2178,19.520128,13.501589,0.46,141.56,Oklahoma,mean
40-45,2056,24.079212,15.100757,0.93,129.39,Oklahoma,mean
45-50,2146,27.720087,16.733322,0.93,161.04,Oklahoma,mean
50-55,1743,33.87249,19.784874,0.95,188.72,Oklahoma,mean
55-60,1236,41.104046,24.949234,1.7,194.81,Oklahoma,mean
60-65,823,47.391533,24.607769,1.37,215.19,Oklahoma,mean
65-70,585,55.80812,28.165707,4.64,183.33,Oklahoma,mean
70-75,401,63.796207,33.46068,2.04,209.05,Oklahoma,mean
75-80,228,73.69048,39.997345,3.02,237.91,Oklahoma,mean
80-85,135,85.41548,46.155174,4.61,284.51,Oklahoma,mean
85-90,53,122.64434,84.57134,40.66,415.79,Oklahoma,mean
90-95,0,,,,,Oklahoma,mean
95-100,0,,,,,Oklahoma,mean
