imp_bin,count,mean,std,min,max,state,predictor
0-5,1583167,0.3950552,0.39490578,-0.38,89.31,Oregon,mean
5-10,29937,0.99933195,1.6503525,0.0,48.75,Oregon,mean
10-15,7657,1.9345789,2.8210397,0.0,58.74,Oregon,mean
15-20,3773,3.0082242,3.9520476,0.0,62.7,Oregon,mean
20-25,2504,4.062156,4.434866,0.0,51.14,Oregon,mean
25-30,1895,5.8470974,5.6216,0.0,46.28,Oregon,mean
30-35,1722,7.0175548,6.003495,0.0,59.08,Oregon,mean
35-40,1707,8.1944,6.4180136,0.0,51.14,Oregon,mean
40-45,1734,9.980115,6.970569,0.29,52.44,Oregon,mean
45-50,1771,11.513913,7.199103,0.36,71.33,Oregon,mean
50-55,1777,13.32457,8.218339,0.0,64.03,Oregon,mean
55-60,1450,15.409102,9.363507,0.39,83.67,Oregon,mean
60-65,1015,18.73937,10.38122,0.41,84.61,Oregon,mean
65-70,725,21.59309,12.401383,0.33,110.89,Oregon,mean
70-75,520,25.097328,13.64448,0.64,115.87,Oregon,mean
75-80,376,27.766464,13.9083395,0.75,90.72,Oregon,mean
80-85,233,32.210815,14.315325,6.46,80.39,Oregon,mean
85-90,94,40.12585,16.288773,4.54,92.54,Oregon,mean
90-95,4,53.26,21.683523,27.08,78.11,Oregon,mean
95-100,0,,,,,Oregon,mean
