imp_bin,count,mean,std,min,max,state,predictor
0-5,613111,0.894378,1.1185361,0.0,168.92,Pennsylvania,mean
5-10,45610,2.6026237,3.563011,0.32,237.09,Pennsylvania,mean
10-15,18496,4.725946,4.8990407,0.36,92.57,Pennsylvania,mean
15-20,11769,6.8028874,5.9542933,0.37,90.24,Pennsylvania,mean
20-25,8863,8.773578,7.0348663,0.47,100.24,Pennsylvania,mean
25-30,7086,11.027913,8.235908,0.49,139.18,Pennsylvania,mean
30-35,5666,13.353459,9.026098,0.68,106.27,Pennsylvania,mean
35-40,4540,16.256765,10.468972,0.57,135.83,Pennsylvania,mean
40-45,3747,19.569117,13.2829895,0.91,289.28,Pennsylvania,mean
45-50,3021,22.530928,14.073324,0.98,228.56,Pennsylvania,mean
50-55,2484,25.798515,14.238373,1.76,161.79,Pennsylvania,mean
55-60,1988,31.32753,19.145195,3.64,289.44,Pennsylvania,mean
60-65,1663,34.691174,19.563229,2.24,257.98,Pennsylvania,mean
65-70,1275,40.988102,25.341902,2.89,386.09,Pennsylvania,mean
70-75,1031,47.94549,30.724968,1.83,507.71,Pennsylvania,mean
75-80,767,61.648617,35.46187,5.88,296.79,Pennsylvania,mean
80-85,561,72.878555,42.10189,1.91,319.73,Pennsylvania,mean
85-90,148,86.12054,60.95348,9.04,331.68,Pennsylvania,mean
90-95,4,41.9675,17.837458,27.18,63.11,Pennsylvania,mean
95-100,0,,,,,Pennsylvania,mean
