imp_bin,count,mean,std,min,max,state,predictor
0-5,16564,1.1124125,1.3980736,0.28,38.22,Rhode Island,mean
5-10,2007,2.8158844,3.6175349,0.33,82.95,Rhode Island,mean
10-15,1193,4.2783823,4.255018,0.52,33.68,Rhode Island,mean
15-20,849,5.3728623,4.6026917,0.0,33.27,Rhode Island,mean
20-25,703,7.466842,6.3919334,0.75,77.15,Rhode Island,mean
25-30,529,9.155954,6.997956,0.0,53.75,Rhode Island,mean
30-35,433,11.616813,8.739981,0.6,76.07,Rhode Island,mean
35-40,357,14.323361,10.196411,1.24,70.71,Rhode Island,mean
40-45,348,16.285086,9.422709,1.03,56.5,Rhode Island,mean
45-50,275,19.805128,10.672574,1.88,58.18,Rhode Island,mean
50-55,215,21.168884,9.785627,1.15,60.37,Rhode Island,mean
55-60,196,27.732908,14.589894,1.96,82.8,Rhode Island,mean
60-65,153,32.076275,16.041187,6.95,113.32,Rhode Island,mean
65-70,166,37.183372,19.670416,3.91,164.79,Rhode Island,mean
70-75,153,42.165165,18.08156,5.56,147.63,Rhode Island,mean
75-80,90,52.17889,22.690006,14.28,121.39,Rhode Island,mean
80-85,60,59.8515,30.391426,17.9,158.84,Rhode Island,mean
85-90,18,88.274445,45.64342,29.47,189.53,Rhode Island,mean
90-95,0,,,,,Rhode Island,mean
95-100,0,,,,,Rhode Island,mean
