imp_bin,count,mean,std,min,max,state,predictor
0-5,398828,1.0171562,1.246745,0.0,84.85,South Carolina,mean
5-10,24802,3.1694465,3.4376104,0.0,83.99,South Carolina,mean
10-15,10500,5.648252,5.611402,0.37,133.13,South Carolina,mean
15-20,6904,7.916896,6.4991302,0.44,128.93,South Carolina,mean
20-25,5303,10.364267,7.728323,0.5,122.69,South Carolina,mean
25-30,4350,12.747673,8.711938,0.54,102.86,South Carolina,mean
30-35,3456,15.624004,10.583415,0.54,98.12,South Carolina,mean
35-40,2543,18.663685,11.592421,0.76,94.87,South Carolina,mean
40-45,1873,22.55859,13.233954,0.55,133.36,South Carolina,mean
45-50,1393,26.167969,14.758222,0.61,110.98,South Carolina,mean
50-55,1038,31.488071,15.919195,1.08,122.63,South Carolina,mean
55-60,712,37.365944,18.459606,1.47,116.01,South Carolina,mean
60-65,493,40.642334,19.61693,0.6,143.92,South Carolina,mean
65-70,350,50.527485,29.197094,0.84,389.17,South Carolina,mean
70-75,286,55.156395,33.780724,1.15,375.3,South Carolina,mean
75-80,161,65.22789,29.703287,15.08,168.04,South Carolina,mean
80-85,88,78.12818,54.71324,16.31,422.2,South Carolina,mean
85-90,21,93.30857,88.401955,1.37,417.19,South Carolina,mean
90-95,1,28.89,,28.89,28.89,South Carolina,mean
95-100,0,,,,,South Carolina,mean
