imp_bin,count,mean,std,min,max,state,predictor
0-5,1274234,0.37913823,0.33396164,0.0,43.09,South Dakota,mean
5-10,13090,1.2602131,2.5369515,0.11,64.82,South Dakota,mean
10-15,2826,3.3641722,4.641063,0.18,59.94,South Dakota,mean
15-20,1437,5.8293185,6.504229,0.2,77.42,South Dakota,mean
20-25,1033,8.339662,8.658835,0.23,101.72,South Dakota,mean
25-30,811,10.340518,8.847842,0.27,60.8,South Dakota,mean
30-35,707,13.191598,10.5690975,0.28,82.45,South Dakota,mean
35-40,729,16.678175,13.153325,0.32,137.64,South Dakota,mean
40-45,668,20.437351,16.001919,0.33,182.28,South Dakota,mean
45-50,606,24.68208,15.799545,0.3,99.77,South Dakota,mean
50-55,503,30.970358,18.834927,0.32,115.11,South Dakota,mean
55-60,318,36.370316,20.528429,1.02,129.29,South Dakota,mean
60-65,198,43.890656,25.40859,0.36,164.82,South Dakota,mean
65-70,131,49.844196,26.017776,0.35,163.65,South Dakota,mean
70-75,73,62.089176,25.307425,16.61,127.96,South Dakota,mean
75-80,37,68.92108,35.919464,16.31,153.79,South Dakota,mean
80-85,24,68.449165,41.44943,9.21,178.66,South Dakota,mean
85-90,4,117.19,45.99063,66.26,166.36,South Dakota,mean
90-95,0,,,,,South Dakota,mean
95-100,0,,,,,South Dakota,mean
