imp_bin,count,mean,std,min,max,state,predictor
0-5,551182,0.8797157,1.1473266,0.22,119.06,Tennessee,mean
5-10,26819,3.2306738,3.834809,0.29,79.54,Tennessee,mean
10-15,12391,5.882558,6.067978,0.32,141.37,Tennessee,mean
15-20,7876,8.980547,7.732488,0.39,90.48,Tennessee,mean
20-25,5827,12.277019,9.330466,0.39,111.71,Tennessee,mean
25-30,4654,15.847296,10.648256,0.55,140.34,Tennessee,mean
30-35,3790,19.485674,12.734355,0.48,215.79,Tennessee,mean
35-40,2847,23.320633,14.075132,0.42,205.86,Tennessee,mean
40-45,2276,28.191072,15.995015,0.8,214.37,Tennessee,mean
45-50,1607,32.535336,17.486298,1.45,155.63,Tennessee,mean
50-55,1292,39.01056,20.673552,1.24,236.39,Tennessee,mean
55-60,1014,45.065052,26.790176,1.29,361.69,Tennessee,mean
60-65,760,53.230827,25.597729,4.27,243.89,Tennessee,mean
65-70,637,59.021023,35.28449,1.74,583.15,Tennessee,mean
70-75,487,66.74019,31.439896,5.84,216.3,Tennessee,mean
75-80,309,70.252266,35.566933,12.0,246.61,Tennessee,mean
80-85,178,87.573875,51.989826,3.55,243.26,Tennessee,mean
85-90,77,130.09845,116.49269,11.7,586.87,Tennessee,mean
90-95,0,,,,,Tennessee,mean
95-100,0,,,,,Tennessee,mean
