imp_bin,count,mean,std,min,max,state,predictor
0-5,3515802,0.78271407,8.940751,0.0,7652.71,Texas,mean
5-10,99037,3.6127253,13.28121,0.0,1695.3,Texas,mean
10-15,35857,6.3560786,12.00459,0.26,588.49,Texas,mean
15-20,22437,10.152109,97.69758,0.22,14270.2,Texas,mean
20-25,16875,12.803293,24.06606,0.28,2429.95,Texas,mean
25-30,14101,15.820921,16.104345,0.28,667.95,Texas,mean
30-35,12716,19.706266,20.27826,0.43,1413.71,Texas,mean
35-40,12465,23.428003,17.866879,0.46,825.15,Texas,mean
40-45,13030,27.280266,18.521664,0.48,390.97,Texas,mean
45-50,13028,31.637085,22.21205,0.74,1126.03,Texas,mean
50-55,12043,36.738476,34.805603,0.68,2114.14,Texas,mean
55-60,10071,42.44271,26.746407,0.54,952.43,Texas,mean
60-65,7045,53.554665,37.958275,0.72,1994.87,Texas,mean
65-70,4638,67.02765,33.348923,0.51,349.09,Texas,mean
70-75,3329,82.33388,44.481163,4.94,830.02,Texas,mean
75-80,2270,93.86344,44.212696,2.91,694.42,Texas,mean
80-85,1094,111.64157,89.903824,1.36,2423.67,Texas,mean
85-90,241,125.28307,64.032455,3.61,371.12,Texas,mean
90-95,9,95.10889,55.133442,18.29,201.95,Texas,mean
95-100,0,,,,,Texas,mean
