imp_bin,count,mean,std,min,max,state,predictor
0-5,1287738,0.35707572,3.780568,0.0,2395.22,Utah,mean
5-10,12659,1.4256711,2.9381902,0.0,64.35,Utah,mean
10-15,4060,3.71333,20.745365,0.16,1197.82,Utah,mean
15-20,2211,5.3695073,6.6547313,0.18,104.23,Utah,mean
20-25,1681,9.163307,77.95116,0.24,3190.19,Utah,mean
25-30,1587,9.066717,9.665388,0.24,149.71,Utah,mean
30-35,1437,11.80689,9.945363,0.29,149.45,Utah,mean
35-40,1524,18.682966,136.83867,0.3,4893.93,Utah,mean
40-45,1755,17.091425,10.7888775,0.24,98.61,Utah,mean
45-50,1959,19.852505,10.980958,0.41,107.6,Utah,mean
50-55,1503,24.666973,13.062998,0.25,99.83,Utah,mean
55-60,881,35.00759,127.1553,0.93,3767.74,Utah,mean
60-65,670,38.13585,19.899416,0.28,157.33,Utah,mean
65-70,457,47.15219,21.270376,6.6,159.07,Utah,mean
70-75,376,54.47455,26.673885,3.11,279.94,Utah,mean
75-80,264,57.579052,28.75744,2.53,191.57,Utah,mean
80-85,141,73.30298,43.037304,1.86,255.57,Utah,mean
85-90,31,87.826454,67.72344,1.68,248.64,Utah,mean
90-95,0,,,,,Utah,mean
95-100,0,,,,,Utah,mean
