imp_bin,count,mean,std,min,max,state,predictor
0-5,149716,0.5138773,0.33966923,0.19,38.42,Vermont,mean
5-10,5409,1.0952579,1.5506536,0.31,52.87,Vermont,mean
10-15,1724,1.7964734,1.730092,0.38,16.97,Vermont,mean
15-20,875,2.8658516,2.7062075,0.38,27.76,Vermont,mean
20-25,539,3.858182,3.480747,0.52,26.6,Vermont,mean
25-30,415,5.406506,4.2373433,0.51,24.36,Vermont,mean
30-35,287,6.5583625,4.833652,0.55,31.38,Vermont,mean
35-40,220,8.358455,5.0863147,0.57,26.5,Vermont,mean
40-45,146,10.093835,6.224762,1.25,34.19,Vermont,mean
45-50,118,10.82517,6.056489,1.64,32.24,Vermont,mean
50-55,88,14.409091,7.2331676,2.56,37.36,Vermont,mean
55-60,64,15.640469,7.4698005,5.36,38.11,Vermont,mean
60-65,44,19.507954,9.314315,7.22,46.62,Vermont,mean
65-70,30,22.852,10.975227,8.14,50.31,Vermont,mean
70-75,18,26.84278,9.050205,12.22,44.7,Vermont,mean
75-80,11,27.574547,14.853694,9.47,50.23,Vermont,mean
80-85,5,34.856,10.3399315,27.41,50.32,Vermont,mean
85-90,0,,,,,Vermont,mean
90-95,0,,,,,Vermont,mean
95-100,0,,,,,Vermont,mean
