imp_bin,count,mean,std,min,max,state,predictor
0-5,579372,0.79691756,1.1957403,0.19,394.54,Virginia,mean
5-10,23075,2.9190578,5.188908,0.0,457.45,Virginia,mean
10-15,9920,5.3096743,5.736329,0.43,97.49,Virginia,mean
15-20,6566,7.853308,7.634006,0.46,187.39,Virginia,mean
20-25,5324,10.218377,8.268684,0.42,127.75,Virginia,mean
25-30,4572,12.842415,9.543902,0.49,196.95,Virginia,mean
30-35,4068,15.801372,10.752756,0.49,152.27,Virginia,mean
35-40,3246,19.395096,12.604622,0.76,142.43,Virginia,mean
40-45,2654,23.229721,14.652414,0.49,227.49,Virginia,mean
45-50,2188,27.559177,14.995649,0.63,124.65,Virginia,mean
50-55,1676,32.178772,17.88646,0.93,234.94,Virginia,mean
55-60,1334,38.3385,18.9132,2.45,207.06,Virginia,mean
60-65,982,45.017708,22.206419,0.84,152.76,Virginia,mean
65-70,761,52.66744,25.236576,2.84,220.26,Virginia,mean
70-75,539,62.486217,30.436373,2.85,222.11,Virginia,mean
75-80,344,75.3886,39.77434,4.58,388.15,Virginia,mean
80-85,182,87.962524,53.247643,12.24,347.18,Virginia,mean
85-90,75,109.74626,56.18805,13.14,259.04,Virginia,mean
90-95,3,117.380005,83.21181,26.95,190.72,Virginia,mean
95-100,0,,,,,Virginia,mean
