imp_bin,count,mean,std,min,max,state,predictor
0-5,1161350,0.50882995,0.6749107,-0.11,133.5,Washington,mean
5-10,45579,1.3285688,2.2716358,0.0,105.12,Washington,mean
10-15,14996,2.46053,3.5125868,0.0,96.35,Washington,mean
15-20,7612,3.9528444,4.955449,0.0,138.19,Washington,mean
20-25,5505,5.590387,6.5234613,0.27,134.4,Washington,mean
25-30,4276,7.2528043,7.306316,0.0,106.59,Washington,mean
30-35,3904,8.917086,8.340975,0.0,127.33,Washington,mean
35-40,3571,10.722307,8.727844,0.0,121.67,Washington,mean
40-45,3654,12.833032,9.880841,0.0,155.49,Washington,mean
45-50,3295,14.944058,10.612627,0.49,154.14,Washington,mean
50-55,2924,17.355383,11.682038,0.51,140.82,Washington,mean
55-60,2377,20.90703,13.187631,0.0,134.71,Washington,mean
60-65,1693,24.775925,14.818295,0.27,128.85,Washington,mean
65-70,1211,29.620016,17.218307,0.39,184.62,Washington,mean
70-75,912,33.77818,18.551107,0.69,158.74,Washington,mean
75-80,709,39.47746,22.160969,1.04,205.79,Washington,mean
80-85,566,49.557384,27.19422,1.32,225.74,Washington,mean
85-90,341,69.17593,38.008728,2.93,205.6,Washington,mean
90-95,18,83.80056,48.87167,2.98,216.03,Washington,mean
95-100,0,,,,,Washington,mean
