imp_bin,count,mean,std,min,max,state,predictor
0-5,1018700,0.57501036,0.8249576,0.0,445.6,Wisconsin,mean
5-10,38219,1.7920547,3.0090961,0.0,250.48,Wisconsin,mean
10-15,12199,3.6378202,5.2544665,0.0,312.16,Wisconsin,mean
15-20,6867,5.6361074,5.8985753,0.36,73.88,Wisconsin,mean
20-25,4969,8.130909,11.406136,0.0,479.02,Wisconsin,mean
25-30,4077,10.076546,7.509579,0.5,87.8,Wisconsin,mean
30-35,3786,12.393296,8.863004,0.0,169.86,Wisconsin,mean
35-40,3466,15.322887,10.816096,0.0,172.34,Wisconsin,mean
40-45,2996,18.059309,11.321111,0.0,142.55,Wisconsin,mean
45-50,2482,21.969242,13.080361,0.0,170.39,Wisconsin,mean
50-55,2056,27.562752,18.8406,0.0,474.13,Wisconsin,mean
55-60,1619,31.963776,16.250717,0.0,155.7,Wisconsin,mean
60-65,1259,37.716015,18.238373,1.96,145.47,Wisconsin,mean
65-70,951,44.690002,25.367413,2.38,521.47,Wisconsin,mean
70-75,696,51.936882,35.452328,11.37,670.9,Wisconsin,mean
75-80,445,59.605885,28.871235,0.0,249.2,Wisconsin,mean
80-85,213,75.68061,53.434727,0.0,629.87,Wisconsin,mean
85-90,103,98.717094,61.378887,16.76,329.89,Wisconsin,mean
90-95,1,263.52,,263.52,263.52,Wisconsin,mean
95-100,0,,,,,Wisconsin,mean
