imp_bin,count,mean,std,min,max,state,predictor
0-5,1588165,0.35847247,0.62408334,-0.26,131.53,Wyoming,mean
5-10,12584,1.1067618,2.78829,0.09,108.29,Wyoming,mean
10-15,2530,2.7653596,4.751916,0.14,82.0,Wyoming,mean
15-20,1152,5.6365366,7.466135,0.17,81.25,Wyoming,mean
20-25,725,7.5676966,7.246677,0.29,61.98,Wyoming,mean
25-30,537,9.373687,7.773628,0.26,57.11,Wyoming,mean
30-35,482,11.45832,9.298167,0.35,56.91,Wyoming,mean
35-40,427,14.14267,12.061941,0.41,154.52,Wyoming,mean
40-45,424,17.93816,15.4997225,0.42,144.27,Wyoming,mean
45-50,366,19.710602,12.36394,1.54,81.85,Wyoming,mean
50-55,335,22.962448,14.768006,0.8,99.94,Wyoming,mean
55-60,178,27.203596,15.314784,0.38,78.15,Wyoming,mean
60-65,118,30.36661,17.953222,3.93,114.73,Wyoming,mean
65-70,69,38.15826,22.928844,3.61,129.18,Wyoming,mean
70-75,31,51.151287,31.941708,13.89,149.63,Wyoming,mean
75-80,27,55.924442,20.913729,7.99,107.17,Wyoming,mean
80-85,6,58.789997,29.945158,28.93,104.2,Wyoming,mean
85-90,0,,,,,Wyoming,mean
90-95,0,,,,,Wyoming,mean
95-100,0,,,,,Wyoming,mean
