imp_bin,count,mean,std,min,max,state,predictor
0-5,348546,0.74097323,1.0433421,0.19,153.74,West Virginia,mean
5-10,9947,2.8662965,3.5706065,0.32,67.18,West Virginia,mean
10-15,4254,4.6359687,5.4423833,0.34,103.36,West Virginia,mean
15-20,2302,6.9744225,6.8587804,0.36,74.19,West Virginia,mean
20-25,1457,10.003974,9.254842,0.39,178.2,West Virginia,mean
25-30,1130,12.145018,9.315364,0.44,71.24,West Virginia,mean
30-35,813,15.183788,10.905907,0.5,87.92,West Virginia,mean
35-40,638,18.27058,12.684701,0.64,83.01,West Virginia,mean
40-45,490,22.41106,12.939785,1.22,101.18,West Virginia,mean
45-50,354,25.189999,16.040234,3.17,151.71,West Virginia,mean
50-55,268,28.928545,15.670862,3.6,115.77,West Virginia,mean
55-60,222,34.0891,19.088474,5.75,139.45,West Virginia,mean
60-65,146,40.099316,23.80123,9.35,180.51,West Virginia,mean
65-70,121,46.15149,22.346045,3.62,121.01,West Virginia,mean
70-75,70,46.479,22.077711,1.6,101.64,West Virginia,mean
75-80,56,62.280712,31.566917,15.42,144.07,West Virginia,mean
80-85,35,62.095432,26.207716,15.66,123.96,West Virginia,mean
85-90,11,91.44455,59.171516,4.03,170.53,West Virginia,mean
90-95,0,,,,,West Virginia,mean
95-100,0,,,,,West Virginia,mean
0-5,738627,0.8237789,1.4130058,-0.3,200.61,Florida,mean
5-10,33442,3.3202915,4.6977015,0.0,115.43,Florida,mean
10-15,20389,5.3788853,6.2937727,0.0,114.65,Florida,mean
15-20,16903,6.9622045,6.985529,0.0,94.28,Florida,mean
20-25,14640,9.511511,9.306985,0.0,210.39,Florida,mean
25-30,13288,12.021298,9.865934,0.0,125.6,Florida,mean
30-35,12379,14.974232,11.459983,0.0,143.49,Florida,mean
35-40,10840,18.456713,13.204583,0.0,167.37,Florida,mean
40-45,9958,22.462439,14.910076,0.0,139.3,Florida,mean
45-50,8358,26.851662,16.95942,0.0,152.26,Florida,mean
50-55,6539,33.061447,19.895868,0.0,182.01,Florida,mean
55-60,4727,40.308678,23.068525,0.0,187.1,Florida,mean
60-65,3173,49.32762,26.584312,0.0,209.81,Florida,mean
65-70,1995,58.60379,28.77116,0.0,237.15,Florida,mean
70-75,1275,69.247025,34.366787,2.09,230.09,Florida,mean
75-80,727,78.96018,38.98363,3.18,297.05,Florida,mean
